date,strategy,ticker,stamped_open,krx_open,krx_low,krx_high,prev_close,matches_krx_open,stamped_vs_krxopen_bp,stamped_vs_prevclose_bp,stamped_below_krx_low
2026-09-03,volatility_breakout,000270,125500,124900,123800,128400,124400,0,48.0,88.4,0
2026-09-03,volatility_breakout,000720,111600,115000,110700,123200,112600,0,-295.7,-88.8,0
2026-09-03,volatility_breakout,001820,114000,114000,103000,115300,111500,1,0.0,224.2,0
2026-09-03,volatility_breakout,002990,17350,17350,16300,17670,17100,1,0.0,146.2,0
2026-09-03,volatility_breakout,003160,30200,30500,29800,32250,30600,0,-98.4,-130.7,0
2026-09-03,long_tail_volatility,000720,111600,115000,110700,123200,112600,0,-295.7,-88.8,0
2026-09-03,long_tail_volatility,000880,123000,127000,122600,135800,126500,0,-315.0,-276.7,0
2026-09-03,long_tail_volatility,001450,52900,52000,51000,54700,52400,0,173.1,95.4,0
2026-09-03,long_tail_volatility,001820,114000,114000,103000,115300,111500,1,0.0,224.2,0
2026-09-03,long_tail_volatility,003670,177400,180100,174600,187200,176000,0,-149.9,79.5,0
