date,time,ticker,name,fill,offset,k,krx_open,day_low,day_high,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_below_krxopen,cap_below_daylow,cap_vs_daylow_bp,gap_bp,early
2026-04-24,10:10:57,027360,아주IB투자,17650.0,1067,0.5372,14590,14320,18960,14590,15657,15657,1272.9,1272.9,16583.0,0,0,1580.3,0.0,0
2026-04-24,10:10:57,001440,대한전선,43700.0,2640,0.4515,40850,40800,44800,40850,43490,43490,48.3,48.3,41060.0,0,0,63.7,0.0,0
2026-04-24,10:10:58,092220,KEC,1762.0,1666,0.4885,8315,8300,9720,8005,9981,9671,-8234.6,-8178.1,96.0,1,1,-9884.3,387.3,0
2026-04-24,10:10:59,005880,대한해운,2785.0,96,0.4982,2635,2630,2870,2635,2731,2731,197.7,197.7,2689.0,0,0,224.3,0.0,0
2026-04-24,10:41:20,027360,아주IB투자,18550.0,1067,0.5372,14590,14320,18960,14590,15657,15657,1847.7,1847.7,17483.0,0,0,2208.8,0.0,0
2026-04-24,10:50:07,006340,대원전선,9390.0,960,0.4485,8170,7790,9850,8140,9130,9100,284.8,318.7,8430.0,0,0,821.6,36.9,0
2026-04-24,11:38:55,006340,대원전선,9170.0,960,0.4485,8170,7790,9850,8140,9130,9100,43.8,76.9,8210.0,0,0,539.2,36.9,0
2026-04-24,12:34:36,209640,와이제이링크,7630.0,388,0.4906,6910,6510,7950,6390,7298,6778,454.9,1257.0,7242.0,0,0,1124.4,813.8,0
2026-04-24,12:39:07,005880,대한해운,2755.0,96,0.4982,2635,2630,2870,2635,2731,2731,87.9,87.9,2659.0,0,0,110.3,0.0,0
2026-04-24,13:46:34,001440,대한전선,42700.0,2640,0.4515,40850,40800,44800,40850,43490,43490,-181.7,-181.7,40060.0,1,1,-181.4,0.0,0
2026-04-27,10:56:33,090710,휴림로봇,14065.0,2155,0.6054,13430,12510,14220,13250,15585,15405,-975.3,-869.8,11910.0,1,1,-479.6,135.8,0
2026-04-28,11:11:00,001780,알루코,3100.0,119,0.5946,2800,2760,3445,2650,2919,2769,620.1,1195.4,2981.0,0,0,800.7,566.0,0
2026-04-29,13:17:48,027360,아주IB투자,17460.0,1223,0.5117,15040,14630,19130,18700,16263,19923,736.0,-1236.3,16237.0,0,0,1098.4,-1957.2,0
2026-04-29,14:00:04,147830,제룡산업,11230.0,1154,0.5383,10000,9800,12220,10060,11154,11214,68.1,14.3,10076.0,0,0,281.6,-59.6,0
2026-04-29,14:35:53,010170,대한광통신,15080.0,947,0.462,14500,14460,15660,15090,15447,16037,-237.6,-596.7,14133.0,1,1,-226.1,-391.0,0
2026-04-30,09:20:16,025860,남해화학,10070.0,248,0.6176,9590,9550,12270,9440,9838,9688,235.8,394.3,9822.0,0,0,284.8,158.9,0
