date,time,ticker,name,fill,qty,err,krx_open,prev_close,prev_range,k,offset,t_open,t_prevc,bp_vs_open,bp_vs_prevc,gap_bp,fill_vs_krxopen_bp,day_low,day_high,day_close,fill_below_open
2026-04-24,10:10:57,027360,아주IB투자,17650.0,14,,14590,14590,1530,0.5112,782,15372,15372,1481.9,1481.9,0.0,2097.3,14320,18960,18720,0
2026-04-24,10:10:57,001440,대한전선,43700.0,1,,40850,40850,4500,0.4339,1952,42802,42802,209.8,209.8,0.0,697.7,40800,44800,42850,0
2026-04-24,10:10:58,092220,KEC,1762.0,16,,8315,8005,2625,0.5346,1403,9718,9408,-8186.9,-8127.1,387.3,-7880.9,8300,9720,9355,1
2026-04-24,10:10:59,005880,대한해운,2785.0,1,,2635,2635,150,0.4952,74,2709,2709,280.5,280.5,0.0,569.3,2630,2870,2765,0
2026-04-24,10:41:20,027360,아주IB투자,18550.0,13,,14590,14590,1530,0.5112,782,15372,15372,2067.4,2067.4,0.0,2714.2,14320,18960,18720,0
2026-04-24,10:50:07,006340,대원전선,9390.0,8,,8170,8140,1650,0.4663,769,8939,8909,504.5,539.9,36.9,1493.3,7790,9850,9020,0
2026-04-24,11:38:55,006340,대원전선,9170.0,8,,8170,8140,1650,0.4663,769,8939,8909,258.4,293.0,36.9,1224.0,7790,9850,9020,0
2026-04-24,12:34:36,209640,와이제이링크,7630.0,21,,6910,6390,610,0.4664,284,7194,6674,606.1,1432.4,813.8,1042.0,6510,7950,7520,0
2026-04-24,12:39:07,005880,대한해운,2755.0,45,,2635,2635,150,0.4952,74,2709,2709,169.8,169.8,0.0,455.4,2630,2870,2765,0
2026-04-24,13:46:34,001440,대한전선,42700.0,3,,40850,40850,4500,0.4339,1952,42802,42802,-23.8,-23.8,0.0,452.9,40800,44800,42850,0
2026-04-27,10:56:33,090710,휴림로봇,14065.0,3,,13430,13250,2740,0.5771,1581,15011,14831,-630.2,-516.5,135.8,472.8,12510,14220,13120,0
2026-04-27,11:36:42,001510,SK증권,4530.0,3,no_k,,,,,,,,,,,,,,,
2026-04-28,11:11:00,001780,알루코,3100.0,33,,2800,2650,155,0.5632,87,2887,2737,737.8,1326.3,566.0,1071.4,2760,3445,3445,0
2026-04-29,13:17:48,027360,아주IB투자,17460.0,14,,15040,18700,1840,0.5223,961,16001,19661,911.8,-1119.5,-1957.2,1609.0,14630,19130,16580,0
2026-04-29,14:00:04,147830,제룡산업,11230.0,22,,10000,10060,1650,0.5078,837,10837,10897,362.6,305.6,-59.6,1230.0,9800,12220,11180,0
2026-04-29,14:35:53,010170,대한광통신,15080.0,14,,14500,15090,1580,0.4847,765,15265,15855,-121.2,-488.8,-391.0,400.0,14460,15660,15070,0
2026-04-30,09:20:16,025860,남해화학,10070.0,22,,9590,9440,310,0.5934,183,9773,9623,303.9,464.5,158.9,500.5,9550,12270,11740,0
2026-04-30,09:21:39,147830,제룡산업,11270.0,20,,11180,11180,2420,0.4942,1196,12376,12376,-893.7,-893.7,0.0,80.5,10960,13400,11690,0
2026-05-04,09:05:27,025860,남해화학,12390.0,17,,11760,11740,2720,0.6097,1658,13418,13398,-766.1,-752.4,17.0,535.7,11320,12820,11610,0
2026-05-04,09:05:42,199820,제일일렉트릭,19400.0,11,,18730,17260,3800,0.5031,1911,20641,19171,-601.2,119.5,851.7,357.7,18520,22300,20700,0
2026-05-04,09:07:54,010170,대한광통신,15840.0,13,,15490,15150,1360,0.4826,656,16146,15806,-189.5,21.5,224.4,226.0,15490,18200,17700,0
2026-05-06,09:07:40,0162Z0,RISE 삼성전자SK하이닉스채권혼합50,12375.0,13,no_daily,,,,,,,,,,,,,,,
2026-05-06,09:07:44,037030,파워넷,8220.0,19,,7800,7440,1620,0.5316,861,8661,8301,-509.2,-97.6,483.9,538.5,7660,9670,9670,0
2026-05-06,14:48:41,203650,드림시큐리티,3455.0,48,,2915,2890,235,0.521,122,3037,3012,1376.4,1470.8,86.5,1852.5,2685,3755,3755,0
2026-05-07,09:16:37,0001A0,덕양에너젠,20750.0,8,no_daily,,,,,,,,,,,,,,,
2026-05-07,09:19:46,000100,유한양행,88700.0,1,,88700,87800,2300,0.4516,1038,89738,88838,-115.7,-15.5,102.5,0.0,87800,89800,88000,0
2026-05-07,10:21:52,203650,드림시큐리티,4320.0,38,,3750,3755,1070,0.5504,588,4338,4343,-41.5,-53.0,-13.3,1520.0,3725,4675,4130,0
2026-05-07,12:52:40,203650,드림시큐리티,4320.0,38,,3750,3755,1070,0.5504,588,4338,4343,-41.5,-53.0,-13.3,1520.0,3725,4675,4130,0
2026-05-12,08:05:47,005930,삼성전자,294000.0,1,,290000,285500,8500,0.5282,4489,294489,289989,-16.6,138.3,157.6,137.9,266000,291500,279000,0
2026-05-12,10:01:24,000100,유한양행,85400.0,1,,84900,84600,2000,0.4216,843,85743,85443,-40.0,-5.0,35.5,58.9,82400,86200,84900,0
2026-05-13,13:12:42,005930,삼성전자,284250.0,1,,264000,279000,25500,0.5464,13933,277933,292933,227.3,-296.4,-537.6,767.0,262000,285500,284000,0
2026-05-15,14:33:45,066570,LG전자,237000.0,1,,256000,217000,23500,0.5642,13259,269259,230259,-1198.1,292.8,1797.2,-742.2,233000,266500,240500,1
2026-05-18,11:16:27,005930,삼성전자,286500.0,1,,269500,270500,30500,0.5226,15940,285440,286440,37.1,2.1,-37.0,630.8,262000,288500,281000,0
2026-05-18,12:40:41,034020,두산에너빌리티,113200.0,1,,108100,110800,10500,0.4827,5068,113168,115868,2.8,-230.3,-243.7,471.8,103500,113600,112100,0
2026-05-20,08:15:05,042700,,310500.0,1,,295000,288000,28500,0.5902,16820,311820,304820,-42.3,186.3,243.1,525.4,283000,300500,287500,0
2026-05-20,11:14:16,042700,한미반도체,300000.0,1,,295000,288000,28500,0.5902,16820,311820,304820,-379.1,-158.1,243.1,169.5,283000,300500,287500,0
2026-05-21,09:03:57,000250,삼천당제약,363500.0,1,,356000,347000,27000,0.5719,15440,371440,362440,-213.8,29.2,259.4,210.7,351000,374000,355000,0
2026-05-21,09:29:15,066570,LG전자,199000.0,1,,192300,181000,14800,0.5066,7497,199797,188497,-39.9,557.2,624.3,348.4,191000,235000,235000,0
2026-05-22,08:03:21,066570,LG전자,245500.0,1,,241000,235000,44000,0.5031,22134,263134,257134,-670.2,-452.4,255.3,186.7,228000,247500,237000,0
2026-05-22,09:11:50,000250,삼천당제약,373000.0,1,,362000,355000,23000,0.6025,13856,375856,368856,-76.0,112.3,197.2,303.9,359000,383500,372000,0
2026-06-01,09:11:31,005930,삼성전자,326000.0,1,,319500,317000,13500,0.4715,6364,325864,323364,4.2,81.5,78.9,203.4,319500,354500,349000,0
2026-06-01,11:40:44,035420,NAVER,268500.0,1,,251000,234000,36500,0.4838,17658,268658,251658,-5.9,669.2,726.5,697.2,244500,304000,271500,0
2026-06-04,09:05:08,000250,삼천당제약,315500.0,1,,293000,302000,15000,0.6555,9831,302831,311831,418.4,117.7,-298.0,767.9,290500,325000,309500,0
2026-06-04,11:13:40,028260,삼성물산,527000.0,1,,502000,485500,56500,0.5114,28892,530892,514392,-73.3,245.1,339.9,498.0,485000,565000,535000,0
2026-06-08,09:34:24,005930,삼성전자,305500.0,1,,293000,329000,18000,0.5232,9417,302417,338417,101.9,-972.7,-1094.2,426.6,292500,315500,295500,0
