date,time,ticker,name,fill,qty,k,prev_range,offset,krx_open,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_minus_krxopen_bp,cap_minus_prevc_bp,viol_open,viol_prevc,gap_bp,stub
2026-04-24,10:10:57,027360,아주IB투자,17650.0,14,0.5372,1530,1067,14590,14590,15657,15657,1272.9,1272.9,16583.0,1366.0,1366.0,0,0,0.0,0
2026-04-24,10:10:57,001440,대한전선,43700.0,1,0.4515,4500,2640,40850,40850,43490,43490,48.3,48.3,41060.0,51.4,51.4,0,0,0.0,0
2026-04-24,10:10:58,092220,KEC,1762.0,16,0.4885,2625,1666,8315,8005,9981,9671,-8234.6,-8178.1,96.0,-9884.5,-9880.1,1,1,387.3,0
2026-04-24,10:10:59,005880,대한해운,2785.0,1,0.4982,150,96,2635,2635,2731,2731,197.7,197.7,2689.0,204.9,204.9,0,0,0.0,0
2026-04-24,10:41:20,027360,아주IB투자,18550.0,13,0.5372,1530,1067,14590,14590,15657,15657,1847.7,1847.7,17483.0,1982.9,1982.9,0,0,0.0,0
2026-04-24,10:50:07,006340,대원전선,9390.0,8,0.4485,1650,960,8170,8140,9130,9100,284.8,318.7,8430.0,318.2,356.3,0,0,36.9,0
2026-04-24,11:38:55,006340,대원전선,9170.0,8,0.4485,1650,960,8170,8140,9130,9100,43.8,76.9,8210.0,49.0,86.0,0,0,36.9,0
2026-04-24,12:34:36,209640,와이제이링크,7630.0,21,0.4906,610,388,6910,6390,7298,6778,454.9,1257.0,7242.0,480.5,1333.3,0,0,813.8,0
2026-04-24,12:39:07,005880,대한해운,2755.0,45,0.4982,150,96,2635,2635,2731,2731,87.9,87.9,2659.0,91.1,91.1,0,0,0.0,0
2026-04-24,13:46:34,001440,대한전선,42700.0,3,0.4515,4500,2640,40850,40850,43490,43490,-181.7,-181.7,40060.0,-193.4,-193.4,1,1,0.0,0
