date,window,k200_gap_bp,kq150_gap_bp,gate_k200,gate_kq150,VB_n,VB_mean_bp,VB_sum_won,LTV_n,LTV_mean_bp,LTV_sum_won
2026-07-01,in_sample,,,,,1,-271.26,-3700.0,0,,
2026-07-02,in_sample,-517.38,-294.74,block,block,2,-222.05,-9900.0,0,,
2026-07-03,in_sample,69.21,25.84,pass,pass,0,,,0,,
2026-07-06,in_sample,133.58,-3.28,pass,block,0,,,0,,
2026-07-07,in_sample,-213.26,-23.76,block,block,0,,,0,,
2026-07-08,in_sample,-301.92,-227.04,block,block,2,-193.35,-7000.0,0,,
2026-07-09,in_sample,380.78,47.92,pass,pass,1,-526.76,-6200.0,0,,
2026-07-10,in_sample,386.58,21.79,pass,pass,2,168.98,5700.0,0,,
2026-07-13,in_sample,-80.84,62.41,block,pass,2,-372.09,-10100.0,1,-510.36,-10100.0
2026-07-14,in_sample,0.0,-10.87,pass,block,0,,,2,-286.84,-11400.0
2026-07-15,in_sample,625.68,343.03,pass,pass,2,-158.77,-4900.0,5,601.73,24100.0
2026-07-16,in_sample,-481.0,-233.53,block,block,2,66.18,2400.0,1,-217.57,-2700.0
2026-07-20,in_sample,-435.78,-250.37,block,block,2,-196.21,-8170.0,0,,
2026-07-21,in_sample,-27.86,-27.76,block,block,2,39.44,1600.0,1,174.83,1000.0
2026-07-22,in_sample,480.95,308.3,pass,pass,2,-299.91,-6400.0,3,-3.68,-1300.0
2026-07-23,in_sample,268.19,175.65,pass,pass,3,259.7,2400.0,3,-138.83,-3300.0
2026-07-24,in_sample,-150.17,-235.07,block,block,0,,,1,-508.3,-2450.0
2026-07-27,in_sample,228.92,227.82,pass,pass,0,,,0,,
2026-07-28,in_sample,-573.23,-444.02,block,block,0,,,1,391.71,680.0
2026-07-29,in_sample,98.24,118.19,pass,pass,0,,,0,,
2026-07-30,in_sample,-11.07,-233.71,block,block,1,-517.65,-1100.0,1,-537.46,-1650.0
2026-07-31,in_sample,1171.91,721.36,pass,pass,1,720.59,490.0,0,,
2026-08-03,in_sample,-628.56,-309.92,block,block,0,,,0,,
2026-08-04,in_sample,162.96,232.56,pass,pass,0,,,1,302.46,320.0
2026-08-05,in_sample,470.45,277.57,pass,pass,0,,,0,,
2026-08-06,in_sample,-214.77,0.0,block,pass,1,379.08,290.0,0,,
2026-08-07,in_sample,91.0,88.37,pass,pass,0,,,0,,
2026-08-10,in_sample,75.95,150.68,pass,pass,0,,,0,,
2026-08-11,in_sample,-70.73,-84.57,block,block,0,,,0,,
2026-08-12,in_sample,129.45,-64.28,pass,block,0,,,0,,
2026-08-13,in_sample,366.1,3.4,pass,pass,1,476.19,370.0,0,,
2026-08-14,in_sample,275.01,60.81,pass,pass,0,,,0,,
2026-08-18,in_sample,268.04,16.86,pass,pass,2,-43.19,-1400.0,2,-226.93,-4900.0
2026-08-19,in_sample,-544.91,-303.03,block,block,3,-453.69,-25100.0,1,-231.21,-4400.0
2026-08-20,in_sample,315.94,330.29,pass,pass,3,-66.53,-9700.0,0,,
2026-08-21,in_sample,-125.24,-260.01,block,block,3,-62.32,-300.0,0,,
2026-08-24,in_sample,-44.1,0.0,block,pass,3,-123.1,-9500.0,2,-266.81,-5000.0
2026-08-25,in_sample,-279.26,-152.75,block,block,3,92.29,2500.0,2,-248.43,-2075.0
2026-08-26,in_sample,-41.67,-41.96,block,block,3,168.51,8250.0,2,99.53,2200.0
2026-08-27,in_sample,296.17,-52.82,pass,block,3,17.16,1400.0,1,93.31,1200.0
2026-08-28,in_sample,-99.88,-79.31,block,block,2,30.42,-3800.0,1,303.87,4400.0
2026-08-31,in_sample,-254.25,-259.07,block,block,2,205.68,8300.0,2,-332.1,-11250.0
2026-09-01,in_sample,-91.53,-97.43,block,block,3,-221.25,-9600.0,1,-471.82,-1800.0
2026-09-02,in_sample,-311.44,-301.08,block,block,2,-13.54,-300.0,0,,
2026-09-03,in_sample,137.2,161.53,pass,pass,2,177.43,5700.0,1,-46.03,-400.0
2026-09-04,in_sample,0.0,0.0,pass,pass,2,-227.08,-5900.0,2,-59.98,-10200.0
