target_date,period,n_pool,n_scored_f,n_scored_rs,breakout_rate_simple,n_bo_simple,breakout_rate_live,n_bo_live,mean_ret_oc_bp,mean_ret_bo_simple_bp,mean_ret_bo_simple_stoplb_bp,mean_ret_bo_live_bp,mean_ret_bo_live_stoplb_bp,idx_oc_bp,idx_cc_bp,mean_k_noise
2026-07-13,prior(07-13~08-14),35,0,0,0.1143,4,0.3714,13,-425.8,-311.0,-263.9,-607.2,-332.7,-903.6,-977.2,0.5387
2026-07-14,prior(07-13~08-14),41,0,0,0.0244,1,0.0976,4,-82.9,45.6,45.6,-72.9,9.9,82.7,82.7,0.5379
2026-07-15,prior(07-13~08-14),44,0,0,0.0909,4,0.2791,12,128.7,174.3,174.3,202.2,202.2,12.9,639.4,0.5403
2026-07-16,prior(07-13~08-14),46,38,0,0.087,4,0.2826,13,-141.7,-425.8,40.2,-239.2,-50.4,-190.8,-662.6,0.56
2026-07-20,prior(07-13~08-14),72,58,0,0.0556,4,0.1972,14,-307.6,-652.7,-445.8,-429.5,-318.4,-14.9,-450.0,0.5571
2026-07-21,prior(07-13~08-14),55,44,0,0.0909,5,0.4,22,227.5,-77.1,-77.1,21.3,32.4,417.6,388.6,0.5595
2026-07-22,prior(07-13~08-14),58,46,0,0.1034,6,0.3966,23,-97.7,-14.2,-14.2,-298.8,-189.8,-462.7,-4.0,0.5612
2026-07-23,prior(07-13~08-14),59,49,0,0.4915,29,0.7119,42,711.6,266.5,266.5,426.4,427.9,180.7,453.8,0.5739
2026-07-24,prior(07-13~08-14),70,55,0,0.1143,8,0.2143,15,-259.3,-43.5,30.6,-187.3,-38.2,-463.1,-606.3,0.5859
2026-07-27,prior(07-13~08-14),61,47,0,0.0492,3,0.1475,9,-310.3,-350.1,-222.5,-304.8,-158.1,-98.4,128.3,0.5651
2026-07-28,prior(07-13~08-14),70,50,0,0.0571,4,0.1857,13,-463.8,-1327.6,-450.9,-745.0,-366.2,-579.0,-1119.0,0.5596
2026-07-29,prior(07-13~08-14),79,68,0,0.0127,1,0.1139,9,-654.4,-368.2,-368.2,-661.2,-401.3,-725.6,-634.5,0.5575
2026-07-30,prior(07-13~08-14),76,70,0,0.0132,1,0.3289,25,64.9,158.4,158.4,-186.4,-144.1,-189.2,-200.1,0.5406
2026-07-31,prior(07-13~08-14),89,76,0,0.0562,5,0.4494,40,424.4,45.7,45.7,85.3,106.3,1114.9,2417.4,0.5363
2026-08-03,prior(07-13~08-14),68,58,67,0.1618,11,0.4265,29,278.5,-87.7,-70.0,10.5,30.0,-281.9,-892.8,0.5412
2026-08-04,prior(07-13~08-14),79,64,78,0.1392,11,0.519,41,466.0,113.5,113.5,130.2,143.4,-38.7,123.6,0.537
2026-08-05,prior(07-13~08-14),70,53,69,0.1857,13,0.4857,34,255.9,157.3,157.3,24.6,68.2,-71.4,395.7,0.5433
2026-08-06,prior(07-13~08-14),51,43,50,0.1176,6,0.3333,17,67.3,-80.2,-80.2,-9.6,-9.6,-309.6,-517.7,0.551
2026-08-07,prior(07-13~08-14),60,44,57,0.2,12,0.3833,23,19.5,-168.0,-74.2,-35.1,25.0,-171.3,-81.9,0.5499
2026-08-10,prior(07-13~08-14),32,20,32,0.2188,7,0.4375,14,475.5,-51.5,-16.3,199.4,202.3,-57.7,17.8,0.5421
2026-08-11,prior(07-13~08-14),69,52,68,0.2464,17,0.4348,30,235.7,18.4,19.1,151.2,165.0,173.7,101.8,0.5491
2026-08-12,prior(07-13~08-14),58,39,57,0.1207,7,0.4655,27,232.8,-218.2,-178.5,-73.2,-38.2,268.5,401.5,0.5533
2026-08-13,prior(07-13~08-14),88,67,87,0.2386,21,0.5,44,180.0,74.5,104.3,55.8,85.7,22.4,389.3,0.5447
2026-08-14,prior(07-13~08-14),57,40,56,0.2281,13,0.4211,24,160.0,312.6,312.6,245.0,258.6,-14.5,260.1,0.5466
2026-08-18,new(08-18~09-03),79,66,79,0.1139,9,0.2785,22,-210.0,-408.7,-281.2,-299.2,-237.7,-394.7,-137.2,0.5588
2026-08-19,new(08-18~09-03),68,52,67,0.2059,14,0.4265,29,275.3,-30.7,2.4,131.2,146.0,-85.3,-625.5,0.5724
2026-08-20,new(08-18~09-03),65,47,62,0.1846,12,0.2969,19,129.5,136.4,136.4,254.8,291.2,306.3,631.9,0.5693
2026-08-21,new(08-18~09-03),51,41,50,0.098,5,0.2353,12,-87.3,41.3,41.3,-17.5,69.9,294.4,165.4,0.5887
2026-08-24,new(08-18~09-03),55,44,51,0.2182,12,0.3333,18,175.1,301.9,301.9,329.2,352.3,-319.6,-362.3,0.5832
