score,outcome,period,bucket,n,n_days,n_tickers,mean_bp,median_bp,win_rate,mean_net_bp,win_rate_net,se_cluster,t_vs0,p_vs0
f_score,ret_oc_bp,all,0-2,336,34,,37.33,16.41,0.5179,9.33,0.4851,54.66,0.68,0.4994
f_score,ret_oc_bp,all,3-4,932,34,,41.94,12.4,0.5107,13.94,0.4893,50.51,0.83,0.4124
f_score,ret_oc_bp,all,5-7,426,34,,31.44,23.16,0.5235,3.44,0.4953,53.1,0.59,0.5578
f_score,ret_oc_bp,all,NA,590,37,,165.25,59.06,0.5424,137.25,0.5153,73.85,2.24,0.0315
f_score,ret_oc_bp,prior,0-2,213,21,,56.6,44.44,0.5211,28.6,0.507,81.2,0.7,0.4938
f_score,ret_oc_bp,prior,3-4,600,21,,29.12,0.0,0.4967,1.12,0.4783,76.26,0.38,0.7066
f_score,ret_oc_bp,prior,5-7,268,21,,50.09,57.72,0.541,22.09,0.5187,77.73,0.64,0.5266
f_score,ret_oc_bp,prior,NA,406,24,,84.38,8.44,0.5049,56.38,0.4754,96.18,0.88,0.3894
f_score,ret_oc_bp,new,0-2,123,13,,3.95,10.04,0.5122,-24.05,0.4472,53.53,0.07,0.9424
f_score,ret_oc_bp,new,3-4,332,13,,65.11,32.4,0.5361,37.11,0.509,38.7,1.68,0.1182
f_score,ret_oc_bp,new,5-7,158,13,,-0.2,-9.54,0.4937,-28.2,0.4557,58.27,-0.0,0.9973
f_score,ret_oc_bp,new,NA,184,13,,343.68,286.9,0.625,315.68,0.6033,70.35,4.89,0.0004
f_score,ret_bo_simple_bp,all,0-2,49,23,,0.99,53.76,0.5918,-27.01,0.5306,63.6,0.02,0.9878
f_score,ret_bo_simple_bp,all,3-4,110,31,,42.79,-4.34,0.4909,14.79,0.4727,52.6,0.81,0.4223
f_score,ret_bo_simple_bp,all,5-7,47,23,,-31.39,20.07,0.5106,-59.39,0.4894,70.2,-0.45,0.6591
f_score,ret_bo_simple_bp,all,NA,142,33,,13.59,-23.14,0.4718,-14.41,0.4507,67.93,0.2,0.8427
f_score,ret_bo_simple_bp,prior,0-2,28,13,,75.97,35.59,0.5714,47.97,0.5,51.27,1.48,0.1641
f_score,ret_bo_simple_bp,prior,3-4,59,18,,88.12,40.59,0.5593,60.12,0.5424,68.67,1.28,0.2166
f_score,ret_bo_simple_bp,prior,5-7,28,12,,-106.79,-41.13,0.4643,-134.79,0.4286,112.78,-0.95,0.364
f_score,ret_bo_simple_bp,prior,NA,82,21,,-57.32,-93.23,0.439,-85.32,0.4268,107.98,-0.53,0.6014
f_score,ret_bo_simple_bp,new,0-2,21,10,,-99.0,53.76,0.619,-127.0,0.5714,116.33,-0.85,0.4169
f_score,ret_bo_simple_bp,new,3-4,51,13,,-9.65,-46.37,0.4118,-37.65,0.3922,80.2,-0.12,0.9062
f_score,ret_bo_simple_bp,new,5-7,19,11,,79.72,36.0,0.5789,51.72,0.5789,67.12,1.19,0.2624
f_score,ret_bo_simple_bp,new,NA,60,12,,110.5,4.07,0.5167,82.5,0.4833,70.2,1.57,0.1438
f_score,ret_bo_simple_stoplb_bp,all,0-2,49,23,,23.63,53.76,0.5918,-4.37,0.5306,51.04,0.46,0.648
f_score,ret_bo_simple_stoplb_bp,all,3-4,110,31,,62.97,-4.34,0.4909,34.97,0.4727,48.32,1.3,0.2024
f_score,ret_bo_simple_stoplb_bp,all,5-7,47,23,,-13.68,20.07,0.5106,-41.68,0.4894,64.88,-0.21,0.8349
f_score,ret_bo_simple_stoplb_bp,all,NA,142,33,,97.11,-23.14,0.4718,69.11,0.4507,49.64,1.96,0.0592
f_score,ret_bo_simple_stoplb_bp,prior,0-2,28,13,,75.97,35.59,0.5714,47.97,0.5,51.27,1.48,0.1641
f_score,ret_bo_simple_stoplb_bp,prior,3-4,59,18,,91.76,40.59,0.5593,63.76,0.5424,67.53,1.36,0.192
f_score,ret_bo_simple_stoplb_bp,prior,5-7,28,12,,-77.06,-41.13,0.4643,-105.06,0.4286,102.08,-0.75,0.4661
f_score,ret_bo_simple_stoplb_bp,prior,NA,82,21,,50.0,-93.23,0.439,22.0,0.4268,76.2,0.66,0.5191
f_score,ret_bo_simple_stoplb_bp,new,0-2,21,10,,-46.17,53.76,0.619,-74.17,0.5714,86.38,-0.53,0.6059
f_score,ret_bo_simple_stoplb_bp,new,3-4,51,13,,29.67,-46.37,0.4118,1.67,0.3922,69.62,0.43,0.6776
f_score,ret_bo_simple_stoplb_bp,new,5-7,19,11,,79.72,36.0,0.5789,51.72,0.5789,67.12,1.19,0.2624
f_score,ret_bo_simple_stoplb_bp,new,NA,60,12,,161.48,4.07,0.5167,133.48,0.4833,61.14,2.64,0.0229
f_score,ret_bo_simple_stopub_bp,all,0-2,49,23,,-308.25,-500.0,0.2653,-336.25,0.2245,48.08,-6.41,0.0
f_score,ret_bo_simple_stopub_bp,all,3-4,110,31,,-321.49,-500.0,0.1636,-349.49,0.1545,26.36,-12.2,0.0
f_score,ret_bo_simple_stopub_bp,all,5-7,47,23,,-383.24,-500.0,0.1064,-411.24,0.1064,33.23,-11.53,0.0
f_score,ret_bo_simple_stopub_bp,all,NA,142,33,,-429.96,-500.0,0.0423,-457.96,0.0423,27.82,-15.45,0.0
f_score,ret_bo_simple_stopub_bp,prior,0-2,28,13,,-342.04,-500.0,0.1786,-370.04,0.1429,63.02,-5.43,0.0002
f_score,ret_bo_simple_stopub_bp,prior,3-4,59,18,,-358.66,-500.0,0.1356,-386.66,0.1356,38.4,-9.34,0.0
f_score,ret_bo_simple_stopub_bp,prior,5-7,28,12,,-453.38,-500.0,0.0714,-481.38,0.0714,23.85,-19.01,0.0
f_score,ret_bo_simple_stopub_bp,prior,NA,82,21,,-430.83,-500.0,0.0488,-458.83,0.0488,41.95,-10.27,0.0
f_score,ret_bo_simple_stopub_bp,new,0-2,21,10,,-263.2,-500.0,0.381,-291.2,0.3333,77.52,-3.4,0.0079
f_score,ret_bo_simple_stopub_bp,new,3-4,51,13,,-278.49,-500.0,0.1961,-306.49,0.1765,30.4,-9.16,0.0
f_score,ret_bo_simple_stopub_bp,new,5-7,19,11,,-279.88,-500.0,0.1579,-307.88,0.1579,63.39,-4.42,0.0013
f_score,ret_bo_simple_stopub_bp,new,NA,60,12,,-428.77,-500.0,0.0333,-456.77,0.0333,34.33,-12.49,0.0
f_score,ret_bo_live_bp,all,0-2,121,33,,14.01,0.0,0.4959,-13.99,0.4628,47.66,0.29,0.7707
f_score,ret_bo_live_bp,all,3-4,308,34,,18.29,11.01,0.526,-9.71,0.4675,38.76,0.47,0.64
f_score,ret_bo_live_bp,all,5-7,142,31,,-1.72,-18.27,0.4507,-29.72,0.3944,44.21,-0.04,0.9692
f_score,ret_bo_live_bp,all,NA,267,36,,56.71,15.95,0.5169,28.71,0.4944,67.5,0.84,0.4065
f_score,ret_bo_live_bp,prior,0-2,79,21,,42.81,0.0,0.4937,14.81,0.443,61.88,0.69,0.497
f_score,ret_bo_live_bp,prior,3-4,191,21,,-0.49,-2.21,0.4974,-28.49,0.445,53.42,-0.01,0.9927
f_score,ret_bo_live_bp,prior,5-7,97,18,,-18.31,-29.9,0.433,-46.31,0.3711,58.83,-0.31,0.7594
f_score,ret_bo_live_bp,prior,NA,170,23,,-47.8,-73.18,0.4471,-75.8,0.4294,92.71,-0.52,0.6113
f_score,ret_bo_live_bp,new,0-2,42,12,,-40.16,13.62,0.5,-68.16,0.5,69.38,-0.58,0.5744
f_score,ret_bo_live_bp,new,3-4,117,13,,48.96,31.07,0.5726,20.96,0.5043,57.51,0.85,0.4112
f_score,ret_bo_live_bp,new,5-7,45,13,,34.03,-2.98,0.4889,6.03,0.4444,62.99,0.54,0.5989
f_score,ret_bo_live_bp,new,NA,97,13,,239.88,154.7,0.6392,211.88,0.6082,63.49,3.78,0.0026
f_score,ret_bo_live_stoplb_bp,all,0-2,121,33,,38.3,0.0,0.4959,10.3,0.4628,41.71,0.92,0.3653
f_score,ret_bo_live_stoplb_bp,all,3-4,308,34,,41.52,11.01,0.526,13.52,0.4675,35.06,1.18,0.2447
f_score,ret_bo_live_stoplb_bp,all,5-7,142,31,,7.8,-18.27,0.4507,-20.2,0.3944,41.61,0.19,0.8525
f_score,ret_bo_live_stoplb_bp,all,NA,267,36,,156.35,15.95,0.5169,128.35,0.4944,49.3,3.17,0.0031
f_score,ret_bo_live_stoplb_bp,prior,0-2,79,21,,58.98,0.0,0.4937,30.98,0.443,55.6,1.06,0.3014
f_score,ret_bo_live_stoplb_bp,prior,3-4,191,21,,30.17,-2.21,0.4974,2.17,0.445,46.24,0.65,0.5214
f_score,ret_bo_live_stoplb_bp,prior,5-7,97,18,,-7.09,-29.9,0.433,-35.09,0.3711,55.35,-0.13,0.8996
f_score,ret_bo_live_stoplb_bp,prior,NA,170,23,,82.96,-73.18,0.4471,54.96,0.4294,65.46,1.27,0.2183
f_score,ret_bo_live_stoplb_bp,new,0-2,42,12,,-0.61,13.62,0.5,-28.61,0.5,57.06,-0.01,0.9917
f_score,ret_bo_live_stoplb_bp,new,3-4,117,13,,60.04,31.07,0.5726,32.04,0.5043,56.57,1.06,0.3094
f_score,ret_bo_live_stoplb_bp,new,5-7,45,13,,39.91,-2.98,0.4889,11.91,0.4444,59.23,0.67,0.5132
f_score,ret_bo_live_stoplb_bp,new,NA,97,13,,284.97,154.7,0.6392,256.97,0.6082,56.81,5.02,0.0003
f_score,ret_bo_live_stopub_bp,all,0-2,121,33,,-143.91,-228.75,0.3636,-171.91,0.3388,53.77,-2.68,0.0116
f_score,ret_bo_live_stopub_bp,all,3-4,308,34,,-209.17,-500.0,0.2825,-237.17,0.2468,38.97,-5.37,0.0
f_score,ret_bo_live_stopub_bp,all,5-7,142,31,,-240.61,-500.0,0.2465,-268.61,0.2254,52.91,-4.55,0.0001
f_score,ret_bo_live_stopub_bp,all,NA,267,36,,-306.01,-500.0,0.1498,-334.01,0.1423,32.42,-9.44,0.0
f_score,ret_bo_live_stopub_bp,prior,0-2,79,21,,-163.1,-325.82,0.3291,-191.1,0.2911,73.84,-2.21,0.039
f_score,ret_bo_live_stopub_bp,prior,3-4,191,21,,-242.91,-500.0,0.2304,-270.91,0.2042,49.19,-4.94,0.0001
f_score,ret_bo_live_stopub_bp,prior,5-7,97,18,,-275.1,-500.0,0.2165,-303.1,0.2062,71.72,-3.84,0.0013
f_score,ret_bo_live_stopub_bp,prior,NA,170,23,,-321.12,-500.0,0.1118,-349.12,0.1118,46.52,-6.9,0.0
f_score,ret_bo_live_stopub_bp,new,0-2,42,12,,-107.8,-101.47,0.4286,-135.8,0.4286,73.04,-1.48,0.168
f_score,ret_bo_live_stopub_bp,new,3-4,117,13,,-154.1,-169.38,0.3675,-182.1,0.3162,64.17,-2.4,0.0334
f_score,ret_bo_live_stopub_bp,new,5-7,45,13,,-166.27,-159.75,0.3111,-194.27,0.2667,63.91,-2.6,0.0232
f_score,ret_bo_live_stopub_bp,new,NA,97,13,,-279.52,-500.0,0.2165,-307.52,0.1959,38.26,-7.31,0.0
mf_rank,ret_oc_bp,all,Q1,450,34,,58.12,30.22,0.5378,30.12,0.5067,39.96,1.45,0.1553
mf_rank,ret_oc_bp,all,Q2,412,34,,43.6,18.89,0.517,15.6,0.4927,48.9,0.89,0.379
mf_rank,ret_oc_bp,all,Q3,413,33,,24.71,10.31,0.5036,-3.29,0.4818,43.94,0.56,0.5778
mf_rank,ret_oc_bp,all,Q4,419,33,,25.54,5.24,0.5012,-2.46,0.4773,93.49,0.27,0.7865
mf_rank,ret_oc_bp,all,NA,590,37,,165.25,59.06,0.5424,137.25,0.5153,73.85,2.24,0.0315
mf_rank,ret_oc_bp,prior,Q1,272,21,,103.6,107.74,0.5809,75.6,0.5625,58.98,1.76,0.0943
mf_rank,ret_oc_bp,prior,Q2,258,21,,0.28,-19.2,0.4651,-27.72,0.4419,70.6,0.0,0.9969
