section,strategy,pool,metric,days,n,value,note
funnel_steps,bull_flag_breakout,step1,유니버스 후보,40,40,1860.0,survived_count 평균/일
funnel_steps,bull_flag_breakout,step2,유니버스 필터 통과 (시총·거래대금),40,40,579.1,survived_count 평균/일
funnel_steps,bull_flag_breakout,step3,1단계 진입 차단 13건 통과 (거래정지/관리/단기과열/투자유의 등),40,40,433.4,survived_count 평균/일
funnel_steps,bull_flag_breakout,step4,일봉 fetch 성공,40,40,430.7,survived_count 평균/일
funnel_steps,bull_flag_breakout,step5,폴(Pole) 자동 검출,40,40,274.9,survived_count 평균/일
funnel_steps,bull_flag_breakout,step6,플래그(Flag) 자동 검출,40,40,145.6,survived_count 평균/일
funnel_steps,bull_flag_breakout,step7,거래량 수축,40,40,35.2,survived_count 평균/일
funnel_steps,bull_flag_breakout,step8,ATR(14) > 0,40,40,35.2,survived_count 평균/일
funnel_steps,bull_flag_breakout,step9,최종 prepared,40,40,35.2,survived_count 평균/일
funnel_steps,bull_flag_breakout,step99,최종 prepared (auto),40,40,35.2,survived_count 평균/일
funnel_steps,donchian_swing,step1,코스피200+코스닥150 합집합,40,40,325.8,survived_count 평균/일
funnel_steps,donchian_swing,step2,시총+거래대금 컷 통과,40,40,129.8,survived_count 평균/일
funnel_steps,donchian_swing,step3,1단계 진입 차단 13건 통과 (거래정지/관리/단기과열/투자유의 등),40,40,114.3,survived_count 평균/일
funnel_steps,donchian_swing,step4,일봉 fetch + 전일종가>0,40,40,114.3,survived_count 평균/일
funnel_steps,donchian_swing,step5,신고가 돌파,40,40,5.7,survived_count 평균/일
funnel_steps,donchian_swing,step6,EMA 우상향 + 종가>EMA,40,40,3.3,survived_count 평균/일
funnel_steps,donchian_swing,step7,거래대금 평균 대비 통과,40,40,2.1,survived_count 평균/일
funnel_steps,donchian_swing,step8,ATR(14) > 0,40,40,2.1,survived_count 평균/일
funnel_steps,donchian_swing,step9,최종 후보,40,40,2.1,survived_count 평균/일
funnel_steps,donchian_swing,step99,최종 prepared (auto),40,40,2.1,survived_count 평균/일
funnel_steps,kojiro,step1,전체 상장 유니버스 (시총/거래대금 컷 전),34,34,3579.0,survived_count 평균/일
funnel_steps,kojiro,step1,코스피200+코스닥150 합집합,1,1,200.0,survived_count 평균/일
funnel_steps,kojiro,step2,시총+거래대금 컷 통과,35,35,986.9,survived_count 평균/일
funnel_steps,kojiro,step3,1단계 진입 차단 통과 (거래정지/관리/단기과열/투자유의 등),35,35,667.8,survived_count 평균/일
funnel_steps,kojiro,step4,일봉 fetch + 전일종가>0 + 워밍업봉 충족,35,35,660.2,survived_count 평균/일
funnel_steps,kojiro,step5,ATR/종가 변동성 밴드 통과 (1.0~4.5%),6,6,85.8,survived_count 평균/일
funnel_steps,kojiro,step5,ATR/종가 변동성 밴드 통과 (1.0~6.0%),29,29,177.1,survived_count 평균/일
funnel_steps,kojiro,step6,스테이지 판별 가능 (EMA 동가 제외),35,35,161.5,survived_count 평균/일
funnel_steps,kojiro,step7,스테이지1 + 3선 우상향,35,35,39.7,survived_count 평균/일
funnel_steps,kojiro,step8,6→1 전환 인접 + 종가>EMA5 (대순환 진입 확정),35,35,11.7,survived_count 평균/일
funnel_steps,kojiro,step9,최종 후보,35,35,11.7,survived_count 평균/일
funnel_steps,kojiro,step99,최종 prepared (auto),35,35,14.6,survived_count 평균/일
