strategy,pool,score,gate,n,spearman,pval,pearson,spearman_within_date,n_within
donchian_swing,final,rs20_dm1,atr_pct,85,0.404,0.0001,0.440,0.445,61
donchian_swing,final,rs20_dm1,tv_ratio20,85,0.048,0.6631,0.035,0.112,61
donchian_swing,final,rs20_dm1,breakout_ext_pct,85,-0.106,0.3338,-0.122,-0.126,61
donchian_swing,final,rs20_dm1,ema60_dist_pct,85,0.498,0.0000,0.473,0.706,61
donchian_swing,final,rs20_dm1,ret20_d,85,0.577,0.0000,0.668,0.832,61
donchian_swing,final,rsi14_dm1,atr_pct,85,0.010,0.9282,-0.011,-0.034,61
donchian_swing,final,rsi14_dm1,tv_ratio20,85,-0.005,0.9672,0.009,0.137,61
donchian_swing,final,rsi14_dm1,breakout_ext_pct,85,-0.000,0.9992,-0.050,0.252,61
donchian_swing,final,rsi14_dm1,ema60_dist_pct,85,0.767,0.0000,0.740,0.756,61
donchian_swing,final,rsi14_dm1,ret20_d,85,0.542,0.0000,0.483,0.555,61
donchian_swing,final,f_score,atr_pct,85,0.343,0.0013,0.330,0.228,61
donchian_swing,final,f_score,tv_ratio20,85,-0.094,0.3928,-0.089,-0.317,61
donchian_swing,final,f_score,breakout_ext_pct,85,-0.010,0.9308,-0.000,0.111,61
donchian_swing,final,f_score,ema60_dist_pct,85,0.189,0.0834,0.216,0.194,61
donchian_swing,final,f_score,ret20_d,85,0.271,0.0121,0.229,0.203,61
donchian_swing,final,mf_pct_univ,atr_pct,85,-0.271,0.0120,-0.230,0.017,61
donchian_swing,final,mf_pct_univ,tv_ratio20,85,-0.152,0.1653,-0.166,-0.197,61
donchian_swing,final,mf_pct_univ,breakout_ext_pct,85,-0.034,0.7605,-0.016,-0.050,61
donchian_swing,final,mf_pct_univ,ema60_dist_pct,85,-0.385,0.0003,-0.436,-0.168,61
donchian_swing,final,mf_pct_univ,ret20_d,85,-0.275,0.0109,-0.256,-0.101,61
donchian_swing,wide,rs20_dm1,atr_pct,226,0.395,0.0000,0.411,0.499,212
donchian_swing,wide,rs20_dm1,tv_ratio20,226,0.147,0.0271,0.088,0.168,212
donchian_swing,wide,rs20_dm1,breakout_ext_pct,226,-0.085,0.2020,-0.121,-0.110,212
donchian_swing,wide,rs20_dm1,ema60_dist_pct,226,0.356,0.0000,0.392,0.383,212
donchian_swing,wide,rs20_dm1,ret20_d,226,0.556,0.0000,0.649,0.772,212
donchian_swing,wide,rsi14_dm1,atr_pct,226,-0.180,0.0065,-0.156,-0.106,212
donchian_swing,wide,rsi14_dm1,tv_ratio20,226,0.177,0.0075,0.052,0.449,212
donchian_swing,wide,rsi14_dm1,breakout_ext_pct,226,0.007,0.9154,0.001,0.215,212
donchian_swing,wide,rsi14_dm1,ema60_dist_pct,226,0.801,0.0000,0.799,0.798,212
donchian_swing,wide,rsi14_dm1,ret20_d,226,0.469,0.0000,0.473,0.470,212
donchian_swing,wide,f_score,atr_pct,226,0.153,0.0216,0.131,-0.126,212
donchian_swing,wide,f_score,tv_ratio20,226,-0.021,0.7486,-0.067,-0.106,212
donchian_swing,wide,f_score,breakout_ext_pct,226,-0.047,0.4834,-0.048,-0.097,212
donchian_swing,wide,f_score,ema60_dist_pct,226,0.079,0.2382,0.116,0.015,212
donchian_swing,wide,f_score,ret20_d,226,0.098,0.1402,0.046,-0.156,212
donchian_swing,wide,mf_pct_univ,atr_pct,226,-0.093,0.1643,-0.060,0.082,212
donchian_swing,wide,mf_pct_univ,tv_ratio20,226,-0.085,0.2041,-0.007,-0.054,212
donchian_swing,wide,mf_pct_univ,breakout_ext_pct,226,0.026,0.6985,0.023,-0.024,212
donchian_swing,wide,mf_pct_univ,ema60_dist_pct,226,-0.318,0.0000,-0.391,-0.306,212
donchian_swing,wide,mf_pct_univ,ret20_d,226,-0.090,0.1764,-0.073,-0.023,212
kojiro,final,rs20_dm1,atr_pct,407,0.251,0.0000,0.115,0.437,407
kojiro,final,rs20_dm1,band_pct,407,0.405,0.0000,0.071,0.600,407
kojiro,final,rs20_dm1,kojiro_stage,407,-0.145,0.0033,-0.153,-0.165,407
kojiro,final,rs20_dm1,ema60_dist_pct,407,0.483,0.0000,0.500,0.525,407
kojiro,final,rs20_dm1,ret20_d,407,0.503,0.0000,0.600,0.845,407
kojiro,final,rsi14_dm1,atr_pct,407,0.034,0.4901,-0.167,0.126,407
kojiro,final,rsi14_dm1,band_pct,407,0.641,0.0000,0.037,0.602,407
kojiro,final,rsi14_dm1,kojiro_stage,407,-0.248,0.0000,-0.322,-0.242,407
kojiro,final,rsi14_dm1,ema60_dist_pct,407,0.726,0.0000,0.783,0.662,407
kojiro,final,rsi14_dm1,ret20_d,407,0.582,0.0000,0.630,0.656,407
kojiro,final,f_score,atr_pct,202,0.110,0.1183,0.028,0.095,196
kojiro,final,f_score,band_pct,202,-0.051,0.4735,-0.111,0.079,196
kojiro,final,f_score,kojiro_stage,202,-0.014,0.8419,-0.010,0.041,196
kojiro,final,f_score,ema60_dist_pct,202,-0.119,0.0919,-0.142,-0.044,196
kojiro,final,f_score,ret20_d,202,-0.070,0.3217,-0.087,0.052,196
kojiro,final,mf_pct_univ,atr_pct,202,-0.005,0.9428,0.021,0.029,196
