strategy,dim,bucket,n,gross_sum,net_sum,mean_ret_bp,win_rate
volatility_breakout,ALL,ALL,63,-83670.0,-99608.0,-47.7,0.429
volatility_breakout,in_vb_pool,True,48,-54570.0,-66392.0,-23.4,0.5
volatility_breakout,f_group,0-2,6,-35500.0,-37538.0,-253.0,0.167
volatility_breakout,f_group,3-4,26,-9300.0,-14798.0,-28.8,0.538
volatility_breakout,f_group,5-7,8,-5870.0,-7020.0,148.3,0.625
volatility_breakout,f_group,NA,23,-33000.0,-40252.0,-83.6,0.304
volatility_breakout,mf_q,Q1,14,-11470.0,-13962.0,47.6,0.571
volatility_breakout,mf_q,Q2,9,-22700.0,-24945.0,-57.0,0.444
volatility_breakout,mf_q,Q3,15,-9900.0,-12991.0,-78.4,0.467
volatility_breakout,mf_q,Q4,2,-6600.0,-7458.0,-28.5,0.5
volatility_breakout,mf_q,NA,23,-33000.0,-40252.0,-83.6,0.304
volatility_breakout,rs_q,Q1,11,-8150.0,-10820.0,-22.7,0.636
volatility_breakout,rs_q,Q2,9,-17400.0,-19375.0,-151.9,0.444
volatility_breakout,rs_q,Q3,6,-18430.0,-19721.0,-131.1,0.167
volatility_breakout,rs_q,Q4,5,3090.0,1792.0,225.3,0.8
volatility_breakout,rs_q,NA,32,-42780.0,-51483.0,-53.9,0.344
volatility_breakout,rs_sign,rs<=0,11,-8150.0,-10820.0,-22.7,0.636
volatility_breakout,rs_sign,rs>0,20,-32740.0,-37304.0,-51.3,0.45
volatility_breakout,rs_sign,NA,32,-42780.0,-51483.0,-53.9,0.344
volatility_breakout,rsi_bin,30-50,9,6950.0,4925.0,76.9,0.778
volatility_breakout,rsi_bin,50-70,22,-47840.0,-53050.0,-89.5,0.409
volatility_breakout,rsi_bin,NA,32,-42780.0,-51483.0,-53.9,0.344
long_tail_volatility,ALL,ALL,37,-39025.0,-45522.0,-35.9,0.405
long_tail_volatility,in_vb_pool,True,20,-32495.0,-36189.0,-79.4,0.45
long_tail_volatility,f_group,0-2,1,-100.0,-193.0,-19.2,0.0
long_tail_volatility,f_group,3-4,7,-18900.0,-20267.0,-222.6,0.286
long_tail_volatility,f_group,5-7,5,3825.0,2765.0,-13.6,0.4
long_tail_volatility,f_group,NA,24,-23850.0,-27827.0,13.2,0.458
long_tail_volatility,mf_q,Q1,8,-5375.0,-7050.0,-54.8,0.375
long_tail_volatility,mf_q,Q2,3,-3600.0,-4179.0,-118.1,0.333
long_tail_volatility,mf_q,Q3,1,-4400.0,-4600.0,-381.6,0.0
long_tail_volatility,mf_q,Q4,1,-1800.0,-1866.0,-471.8,0.0
long_tail_volatility,mf_q,NA,24,-23850.0,-27827.0,13.2,0.458
long_tail_volatility,rs_q,Q1,2,4000.0,3576.0,128.9,0.5
long_tail_volatility,rs_q,Q2,3,-10600.0,-11056.0,-418.3,0.0
long_tail_volatility,rs_q,Q4,8,-20075.0,-21498.0,-123.3,0.5
long_tail_volatility,rs_q,NA,24,-12350.0,-16544.0,27.3,0.417
long_tail_volatility,rs_sign,rs<=0,2,4000.0,3576.0,128.9,0.5
long_tail_volatility,rs_sign,rs>0,11,-30675.0,-32554.0,-203.8,0.364
long_tail_volatility,rs_sign,NA,24,-12350.0,-16544.0,27.3,0.417
long_tail_volatility,rsi_bin,30-50,4,-2200.0,-2879.0,-153.9,0.25
long_tail_volatility,rsi_bin,50-70,6,-13300.0,-14326.0,-63.9,0.5
long_tail_volatility,rsi_bin,70-85,3,-11175.0,-11772.0,-328.2,0.333
long_tail_volatility,rsi_bin,NA,24,-12350.0,-16544.0,27.3,0.417
