strategy,ticker,name,buy_date,sell_date,hold_bdays,buy_px,qty,sell_px,pl_recorded,pl_gross_1unit,ret_pct_1unit,asset_at_entry,strategy_budget,notional_cap_pos_ratio,notional_1unit,notional_1unit_over_cap_x,N_atr14,N_pct_of_price,N_wilder20,turtle_unit_qty_theory,lot_in_turtle_units,MFE_won,MFE_N,MFE_pct,MAE_won,MAE_N,MAE_pct,mae_hit_2N,reach_0.5N,days_to_0.5N,reach_1N,days_to_1N,reach_1.5N,days_to_1.5N,reach_2N,days_to_2N,MFE20_N,MFE20_pct,bars_after_entry_avail,pess_units,pess_add_days,pess_unit_px,pess_avg_px,pess_final_stop,pess_exit_px,pess_exit_reason,pess_exit_day,pess_pnl,pess_pnl_delta_vs_1unit,pess_notional,pess_notional_pct_asset,pess_notional_over_budget_x,pess_risk_won_at_final_stop,pess_risk_pct_asset,pess_pnl_pct_asset,opt_units,opt_add_days,opt_unit_px,opt_avg_px,opt_final_stop,opt_exit_px,opt_exit_reason,opt_exit_day,opt_pnl,opt_pnl_delta_vs_1unit,opt_notional,opt_notional_pct_asset,opt_notional_over_budget_x,opt_risk_won_at_final_stop,opt_risk_pct_asset,opt_pnl_pct_asset,pess_1N_units,pess_1N_add_days,pess_1N_unit_px,pess_1N_avg_px,pess_1N_final_stop,pess_1N_exit_px,pess_1N_exit_reason,pess_1N_exit_day,pess_1N_pnl,pess_1N_pnl_delta_vs_1unit,pess_1N_notional,pess_1N_notional_pct_asset,pess_1N_notional_over_budget_x,pess_1N_risk_won_at_final_stop,pess_1N_risk_pct_asset,pess_1N_pnl_pct_asset,pess_budget_units,pess_budget_add_days,pess_budget_unit_px,pess_budget_avg_px,pess_budget_final_stop,pess_budget_exit_px,pess_budget_exit_reason,pess_budget_exit_day,pess_budget_pnl,pess_budget_pnl_delta_vs_1unit,pess_budget_notional,pess_budget_notional_pct_asset,pess_budget_notional_over_budget_x,pess_budget_risk_won_at_final_stop,pess_budget_risk_pct_asset,pess_budget_pnl_pct_asset
donchian_swing,139480,이마트,2026-05-11,2026-05-12,1,115500.0,1,108300.0,-7300.0,-7200.0,-6.2338,1089256.0,163388.4,32677.68,115500.0,3.5345,3635.7143,3.1478,4825.4826,0,4.4504,2100.0,0.5776,1.8182,12500.0,3.4381,10.8225,True,True,0,False,,False,,False,,0.8802,2.7706,20,2,0,115500|117318,116409,110046,108300.0,actual_exit(stop_touched_same_day),1,-16217.8571,-9017.8571,232817.8571,21.374,1.4249,12725.0,1.1682,-1.4889,2,0,115500|117318,116409,110046,108300.0,actual_exit(stop_touched_same_day),1,-16217.8571,-9017.8571,232817.8571,21.374,1.4249,12725.0,1.1682,-1.4889,1,,115500,115500,108229,108300.0,actual_exit(stop_touched_same_day),1,-7200.0,0.0,115500.0,10.6036,0.7069,7271.4286,0.6676,-0.661,1,,115500,115500,108229,108300.0,actual_exit(stop_touched_same_day),1,-7200.0,0.0,115500.0,10.6036,0.7069,7271.4286,0.6676,-0.661
donchian_swing,336260,두산테스나,2026-05-11,2026-05-12,1,89600.0,1,88300.0,-1300.0,-1300.0,-1.4509,1089256.0,163388.4,32677.68,89600.0,2.7419,6175.0,6.8917,5653.3935,0,7.5587,14200.0,2.2996,15.8482,4600.0,0.7449,5.1339,False,True,0,True,0,True,0,True,0,3.1255,21.5402,20,4,0|0|0,89600|92688|95775|98862,94231,86512,86512.5,pyr_stop_same_day_after_add,0,-30875.0,-29575.0,376925.0,34.6039,2.3069,30875.0,2.8345,-2.8345,4,0|0|0,89600|92688|95775|98862,94231,86512,88300.0,actual_exit(stop_touched_same_day),1,-23725.0,-22425.0,376925.0,34.6039,2.3069,30875.0,2.8345,-2.1781,3,0|0,89600|95775|101950,95775,89600,89600.0,pyr_stop_same_day_after_add,0,-18525.0,-17225.0,287325.0,26.3781,1.7585,18525.0,1.7007,-1.7007,1,,89600,89600,77250,88300.0,actual_exit,1,-1300.0,0.0,89600.0,8.2258,0.5484,12350.0,1.1338,-0.1193
donchian_swing,003550,LG,2026-05-11,2026-05-12,1,110100.0,1,109200.0,-1400.0,-900.0,-0.8174,1089256.0,163388.4,32677.68,110100.0,3.3693,3560.7143,3.2341,4672.7712,0,4.3586,8300.0,2.331,7.5386,5500.0,1.5446,4.9955,False,True,1,True,1,True,1,True,1,21.2879,68.8465,20,4,1|1|1,110100|111880|113661|115441,112771,108320,109200.0,actual_exit,1,-14282.1429,-13382.1429,451082.1429,41.4119,2.7608,17803.5714,1.6345,-1.3112,4,1|1|1,110100|111880|113661|115441,112771,108320,109200.0,actual_exit,1,-14282.1429,-13382.1429,451082.1429,41.4119,2.7608,17803.5714,1.6345,-1.3112,3,1|1,110100|113661|117221,113661,110100,109200.0,actual_exit,1,-13382.1429,-12482.1429,340982.1429,31.3041,2.0869,10682.1429,0.9807,-1.2286,1,,110100,110100,102979,109200.0,actual_exit,1,-900.0,0.0,110100.0,10.1078,0.6739,7121.4286,0.6538,-0.0826
donchian_swing,086280,현대글로비스,2026-05-11,2026-05-12,1,246000.0,1,258500.0,11500.0,12500.0,5.0813,1089256.0,163388.4,32677.68,246000.0,7.5281,12750.0,5.1829,14420.6982,0,15.607,42500.0,3.3333,17.2764,2500.0,0.1961,1.0163,False,True,0,True,1,True,1,True,1,3.3333,17.2764,20,4,0|1|1,246000|252375|268500|268500,258844,243000,258500.0,actual_exit,1,-1375.0,-13875.0,1035375.0,95.0534,6.3369,63375.0,5.8182,-0.1262,4,0|1|1,246000|252375|268500|268500,258844,243000,258500.0,actual_exit,1,-1375.0,-13875.0,1035375.0,95.0534,6.3369,63375.0,5.8182,-0.1262,4,1|1|1,246000|268500|271500|284250,267562,258750,258500.0,actual_exit,1,-36250.0,-48750.0,1070250.0,98.2551,6.5503,35250.0,3.2362,-3.328,1,,246000,246000,220500,258500.0,actual_exit,1,12500.0,0.0,246000.0,22.5842,1.5056,25500.0,2.341,1.1476
donchian_swing,383220,F&F,2026-05-11,2026-05-19,6,84700.0,1,78800.0,-6000.0,-5900.0,-6.9658,1089256.0,163388.4,32677.68,84700.0,2.592,3582.1429,4.2292,3806.4179,0,4.3848,3500.0,0.9771,4.1322,8200.0,2.2891,9.6812,True,True,0,False,,False,,False,,1.2004,5.0767,20,2,0,84700|86491,85596,79327,78800.0,actual_exit(stop_touched_same_day),6,-13591.0714,-7691.0714,171191.0714,15.7163,1.0478,12537.5,1.151,-1.2477,2,0,84700|86491,85596,79327,78800.0,actual_exit(stop_touched_same_day),6,-13591.0714,-7691.0714,171191.0714,15.7163,1.0478,12537.5,1.151,-1.2477,1,,84700,84700,77536,78800.0,actual_exit(stop_touched_same_day),6,-5900.0,0.0,84700.0,7.7759,0.5184,7164.2857,0.6577,-0.5417,1,,84700,84700,77536,78800.0,actual_exit(stop_touched_same_day),6,-5900.0,0.0,84700.0,7.7759,0.5184,7164.2857,0.6577,-0.5417
donchian_swing,017670,SK텔레콤,2026-05-13,2026-05-19,4,101700.0,1,96000.0,-5700.0,-5700.0,-5.6047,1085863.0,162879.45,32575.89,101700.0,3.1219,3992.8571,3.9261,4619.6869,0,4.9028,4400.0,1.102,4.3265,5800.0,1.4526,5.703,False,True,0,True,0,False,,False,,9.4669,37.1681,20,3,0|0,101700|103696|105693,103696,97707,97707.1429,pyr_stop,3,-17967.8571,-12267.8571,311089.2857,28.649,1.9099,17967.8571,1.6547,-1.6547,3,0|0,101700|103696|105693,103696,97707,97707.1429,pyr_stop,3,-17967.8571,-12267.8571,311089.2857,28.649,1.9099,17967.8571,1.6547,-1.6547,2,0,101700|105693,103696,97707,97707.1429,pyr_stop,3,-11978.5714,-6278.5714,207392.8571,19.0994,1.2733,11978.5714,1.1031,-1.1031,1,,101700,101700,93714,96000.0,actual_exit,4,-5700.0,0.0,101700.0,9.3658,0.6244,7985.7143,0.7354,-0.5249
kojiro,068790,DMS,2026-07-22,2026-07-24,2,8610.0,5,7900.0,-3550.0,-3550.0,-8.2462,1185458.0,355637.4,59035.8084,43050.0,0.7292,574.2857,6.67,487.4383,3,1.6148,170.0,0.296,1.9744,950.0,1.6542,11.0337,False,False,,False,,False,,False,,0.296,1.9744,16,1,,8610,8610,7461,7900.0,actual_exit,2,-3550.0,0.0,43050.0,3.6315,0.1211,5742.8571,0.4844,-0.2995,1,,8610,8610,7461,7900.0,actual_exit,2,-3550.0,0.0,43050.0,3.6315,0.1211,5742.8571,0.4844,-0.2995,1,,8610,8610,7461,7900.0,actual_exit,2,-3550.0,0.0,43050.0,3.6315,0.1211,5742.8571,0.4844,-0.2995,1,,8610,8610,7461,7900.0,actual_exit,2,-3550.0,0.0,43050.0,3.6315,0.1211,5742.8571,0.4844,-0.2995
donchian_swing,017670,SK텔레콤,2026-07-24,2026-07-28,2,98200.0,1,89200.0,-9000.0,-9000.0,-9.165,1196147.0,179422.05,35884.41,98200.0,2.7366,5378.5714,5.4772,5996.3429,0,5.9954,7400.0,1.3758,7.5356,17600.0,3.2722,17.9226,True,True,0,True,0,False,,False,,1.5432,8.4521,20,3,0|0,98200|100889|103579,100889,92821,92100,pyr_stop_gap,2,-26367.8571,-17367.8571,302667.8571,25.3036,1.6869,24203.5714,2.0235,-2.2044,3,0|0,98200|100889|103579,100889,92821,92100,pyr_stop_gap,2,-26367.8571,-17367.8571,302667.8571,25.3036,1.6869,24203.5714,2.0235,-2.2044,2,0,98200|103579,100889,92821,92100,pyr_stop_gap,2,-17578.5714,-8578.5714,201778.5714,16.869,1.1246,16135.7143,1.349,-1.4696,1,,98200,98200,87443,89200.0,actual_exit(stop_touched_same_day),2,-9000.0,0.0,98200.0,8.2097,0.5473,10757.1429,0.8993,-0.7524
kojiro,139130,iM금융지주,2026-07-22,2026-07-28,4,18330.0,2,16890.0,-2880.0,-2880.0,-7.856,1185458.0,355637.4,59035.8084,36660.0,0.621,901.4286,4.9178,855.1047,1,1.0139,490.0,0.5436,2.6732,1980.0,2.1965,10.802,True,True,3,False,,False,,False,,0.5436,2.6732,20,2,3,18330|18781,18555,16978,16890.0,actual_exit(stop_touched_same_day),4,-6661.4286,-3781.4286,74221.4286,6.261,0.2087,6310.0,0.5323,-0.5619,2,3,18330|18781,18555,16978,16890.0,actual_exit(stop_touched_same_day),4,-6661.4286,-3781.4286,74221.4286,6.261,0.2087,6310.0,0.5323,-0.5619,1,,18330,18330,16527,16890.0,actual_exit(stop_touched_same_day),4,-2880.0,0.0,36660.0,3.0925,0.1031,3605.7143,0.3042,-0.2429,2,3,18330|18781,18555,16978,16890.0,actual_exit(stop_touched_same_day),4,-6661.4286,-3781.4286,74221.4286,6.261,0.2087,6310.0,0.5323,-0.5619
donchian_swing,011200,HMM,2026-07-27,2026-07-29,2,21200.0,1,20000.0,-1200.0,-1200.0,-5.6604,1179827.0,176974.05,35394.81,21200.0,0.599,828.5714,3.9084,900.069,1,0.9364,550.0,0.6638,2.5943,1430.0,1.7259,6.7453,False,True,0,False,,False,,False,,2.6552,10.3774,20,2,0,21200|21614,21407,19957,19957.1429,pyr_stop,1,-2900.0,-1700.0,42814.2857,3.6289,0.2419,2900.0,0.2458,-0.2458,2,0,21200|21614,21407,19957,19957.1429,pyr_stop,1,-2900.0,-1700.0,42814.2857,3.6289,0.2419,2900.0,0.2458,-0.2458,1,,21200,21200,19543,20000.0,actual_exit,2,-1200.0,0.0,21200.0,1.7969,0.1198,1657.1429,0.1405,-0.1017,2,0,21200|21614,21407,19957,19957.1429,pyr_stop,1,-2900.0,-1700.0,42814.2857,3.6289,0.2419,2900.0,0.2458,-0.2458
